企业代号,TOPSIS得分,D_pos,D_neg,排名,风险等级,信誉评级,是否违约,企业名称,初始额度,贷款额度_万元,贷款年利率,预计流失率
E79,0.16441444729389373,0.0971236626628978,0.019110590488506697,67,C,B,否,***鞋业有限公司,62.170098476319595,62.170098476319595,0.1093899245474213,0.7362434471151089
E62,0.1641414068354174,0.10028596679569185,0.019693617808453384,68,C,B,否,***工程造价咨询有限公司***分公司,62.06685358226749,62.06685358226749,0.10939747186285038,0.7362855575689893
E74,0.16411808740379977,0.09752726749737531,0.01914862418983842,69,C,B,否,***蔬菜专业合作社,62.05803579658052,62.05803579658052,0.1093981164526926,0.7362891537380893
E71,0.1634389635933771,0.10494603043950594,0.02050331022103059,70,C,B,否,***农业科技有限公司,61.80123844776774,61.80123844776774,0.1094168886216278,0.7363938604309976
E39,0.16248785434194196,0.09772109039818232,0.018959116455892582,71,C,C,否,***建筑劳务有限公司,61.44159513906407,61.44159513906407,0.10944317894346565,0.7365404258395769
E81,0.1620281499619936,0.10260554619422127,0.01983955287392472,72,C,A,否,***机械设备有限公司,61.267766944268644,61.267766944268644,0.10945588597589215,0.7366112343437976
E73,0.16082458948529632,0.10414433612426141,0.0199588428051415,73,C,C,否,***商贸有限责任公司,60.812664156222745,60.812664156222745,0.10948915449077197,0.7367965215865457
E42,0.15969453630754185,0.09869876579028297,0.01875705242679999,74,C,A,否,***园艺场,60.385356711525446,60.385356711525446,0.10952039113545,0.7369703635963338
E105,0.15934362071616207,0.10051983104353396,0.01905319965084753,75,C,C,否,***建材经营部,60.25266486338171,60.25266486338171,0.10953009105564464,0.7370243213927545
E64,0.15925460986738252,0.10473531686819651,0.019839040716655397,76,C,A,否,***图书有限责任公司,60.219007156743594,60.219007156743594,0.10953255147105742,0.7370380060452251
E109,0.15923494901574106,0.0955614153981356,0.018098655612504837,77,C,D,是,***服饰有限公司,60.2115727913165,60.2115727913165,0.10953309493135546,0.7370410286276889
E65,0.1585504976520565,0.10203036146511701,0.019225116350742408,78,C,B,否,***商贸有限公司,59.95276093273051,59.95276093273051,0.10955201436317309,0.7371462299591056
E26,0.1562009408187811,0.10207371188287279,0.018895505577407504,79,C,A,否,***金属材料有限公司,59.06432209961912,59.06432209961912,0.10961696022005542,0.7375070125410557
E121,0.15576743379389377,0.09915373162994111,0.018294629874907865,80,C,D,是,***药业连锁有限公司***药店,58.900399920814195,58.900399920814195,0.10962894311180636,0.7375735201009925
E91,0.15499369796074175,0.10220478605737839,0.01874672141744994,81,C,A,否,***科技实业有限公司,58.60782689129366,58.60782689129366,0.10965033052239075,0.7376921790750828
E83,0.15406285176660756,0.10538156413708634,0.01919218742017683,82,C,B,否,***社会福利院（***社会福利社会化服务中心）,58.25584566027578,58.25584566027578,0.10967606073791375,0.7378348547397906
E70,0.15304904875578315,0.10508225715606408,0.0189889856965386,83,C,B,否,***科技有限公司,57.872495936112685,57.872495936112685,0.10970408402482275,0.7379901493102901
E76,0.1512041739109446,0.10459745606903767,0.01863295206219098,84,C,B,否,***信息科技有限公司,57.17489269827144,57.17489269827144,0.10975507958957853,0.7382724899866571
E96,0.15031337740465064,0.09610915816265769,0.017002141470487474,85,C,C,否,***土地整理有限公司,56.838055471189676,56.838055471189676,0.10977970276174007,0.7384086989226302
E78,0.1501654173577896,0.10462297967561171,0.01848683700227597,86,C,C,否,个体经营E78,56.78210728150614,56.78210728150614,0.10978379263600557,0.7384313155264153
E57,0.15009156100295953,0.10030782436730255,0.01771409395330356,87,C,B,否,***机械设备有限公司,56.75417994952005,56.75417994952005,0.10978583415472208,0.7384426041244132
E66,0.1500105001454273,0.10471616496638513,0.01848084509585839,88,C,B,否,***快递有限公司,56.72352837614373,56.72352837614373,0.10978807481848364,0.7384549932833921
E87,0.14995164843506165,0.10082100680953385,0.017785195559922494,89,C,C,是,***实业有限责任公司,56.70127475616597,56.70127475616597,0.10978970158260552,0.7384639876440302
E80,0.14698054078183304,0.10390084938249561,0.017902760441043112,90,C,C,否,***实业有限责任公司,55.57780867137119,55.57780867137119,0.10987182819035375,0.7389176249208089
E108,0.1459802554188861,0.10235466478460396,0.017495801711118166,91,C,D,是,***商贸有限公司,55.199570380622504,55.199570380622504,0.10989947782585241,0.7390701572898541
E67,0.14589140254336927,0.10472821581142859,0.0178887630168947,92,C,B,否,***信息技术有限公司,55.165972408475255,55.165972408475255,0.10990193387460814,0.7390837016350946
E97,0.1456476935153783,0.10423632434043113,0.017769929460567276,93,C,B,否,***美工装饰部,55.073818619564705,55.073818619564705,0.10990867041803994,0.7391208476178537
E84,0.14485873472043875,0.1036316024846227,0.017554927381578583,94,C,A,否,***建材有限公司,54.775489325622104,54.775489325622104,0.1099304786178913,0.7392410604359148
E92,0.14342169072789754,0.10381687281130929,0.017382638882525354,95,C,C,否,***地质灾害防治有限公司,54.23209932552441,54.23209932552441,0.1099702010251774,0.7394598650268049
E106,0.14341727215003713,0.10358478190764765,0.017343154810907493,96,C,B,否,***财务管理有限公司,54.23042852697095,54.23042852697095,0.10997032316239122,0.739460537489133
E82,0.14280118179126497,0.10460669579119404,0.01742648200737992,97,C,D,是,***商贸有限公司,53.99746604158358,53.99746604158358,0.10998735297656756,0.739554281459142
E100,0.14234364836645932,0.10120351180186564,0.01679656084857031,98,C,D,是,***装饰工程有限公司,53.82445875089501,53.82445875089501,0.11,0.739623875494283
E102,0.14224689156275033,0.10525164088054843,0.01745457824619728,99,D,D,是,***大药房有限责任公司,,0.0,0.0,0.0
E77,0.14200295333611282,0.10093796551393412,0.016705755879288443,100,D,C,否,***机电设备有限公司,,0.0,0.0,0.0
E68,0.13890089626751684,0.10182215163045544,0.016424576520928665,101,D,C,否,***花木总公司,,0.0,0.0,0.0
E86,0.13750829772028397,0.10206860265845304,0.01627294473112522,102,D,C,否,***地质工程勘察院***分院,,0.0,0.0,0.0
E50,0.13657791134510783,0.10334947054677746,0.016348035348379232,103,D,C,否,***建筑劳务有限公司,,0.0,0.0,0.0
E99,0.13576437373794104,0.09918252900034505,0.01558076701109512,104,D,D,是,***建筑工程有限责任公司,,0.0,0.0,0.0
E111,0.13564012233315598,0.10096869838018901,0.015844565387597823,105,D,D,是,***科技有限公司,,0.0,0.0,0.0
E90,0.13523359278869077,0.10340627557856918,0.01617084341710595,106,D,C,否,***文化传媒有限责任公司,,0.0,0.0,0.0
E52,0.13518598965468537,0.10381412369372807,0.016228015369532205,107,D,D,是,***商贸有限公司,,0.0,0.0,0.0
E43,0.1349125551960633,0.10163241872759401,0.015849830423100772,108,D,B,否,***建设工程有限公司,,0.0,0.0,0.0
E85,0.13449162113744048,0.10564732410738109,0.016416571156373034,109,D,B,否,***安防科技有限公司,,0.0,0.0,0.0
E94,0.13405693701696086,0.10573973006722981,0.016369603198831458,110,D,C,否,***汽车美容有限公司,,0.0,0.0,0.0
E118,0.13345783854092683,0.1038829659528213,0.0159992170189852,111,D,D,是,***体育用品有限公司,,0.0,0.0,0.0
E29,0.1324447500299831,0.1040412500209866,0.01588338881277334,112,D,C,是,***建筑劳务有限公司,,0.0,0.0,0.0
E117,0.132386982878791,0.10030607355192332,0.015305462435336033,113,D,D,是,***人力资源管理咨询有限公司,,0.0,0.0,0.0
E104,0.13170416763867848,0.10428077924628838,0.01581743539410426,114,D,C,否,***管理咨询有限责任公司,,0.0,0.0,0.0
E122,0.13155141192124728,0.10189282458342394,0.015434586597978188,115,D,D,是,***商贸有限责任公司,,0.0,0.0,0.0
E98,0.12990404229247243,0.10463989348460144,0.015622581656990816,116,D,B,否,***文化传播有限公司,,0.0,0.0,0.0
E110,0.1273898254762053,0.10593703083886465,0.015465439510139876,117,D,C,否,***通讯器材经营部,,0.0,0.0,0.0
E119,0.11852531615231396,0.10654137020656589,0.014325822191413007,118,D,D,是,***药房,,0.0,0.0,0.0
E115,0.11407008959896886,0.10749638271121602,0.013840961754957344,119,D,D,是,***装饰工程有限公司,,0.0,0.0,0.0
E112,0.11354863915425029,0.10624491648795349,0.013609281024459189,120,D,D,是,***机械设备有限公司,,0.0,0.0,0.0
E101,0.11335754569614666,0.10386949117914071,0.013279750519074342,121,D,D,是,***灯饰工程有限公司,,0.0,0.0,0.0
E113,0.1088566813985037,0.1016297300722294,0.012414473537713657,122,D,D,是,***美居科技有限公司,,0.0,0.0,0.0
E107,0.10504543348914579,0.1069167396141808,0.012549369186197158,123,D,D,是,***科技有限公司,,0.0,0.0,0.0
