企业代号,违约概率,风险等级,TOPSIS得分,D_pos,D_neg,PD排名,TOPSIS排名,企业名称,信誉评级,是否违约,硬性禁贷
E27,0.07440686329123165,A,0.6066946418497595,0.12921457971775877,0.19932043014193285,44,87,***农业开发有限公司,A,否,False
E34,0.07528910529678959,A,0.7059420486672956,0.09043592435698207,0.21710863938331493,45,38,***建设工程有限公司,B,否,False
E12,0.07886932050946382,A,0.7135508061923891,0.0915538574139508,0.22806253318214753,46,32,***建筑劳务有限公司,B,否,False
E33,0.08022553988035391,A,0.6742025039668413,0.10229496754026575,0.21168831589741452,47,58,***园林有限责任公司,B,否,False
E37,0.08145869924312618,A,0.6015567839505929,0.12849322781786238,0.19399495278634496,48,90,***木业有限公司,B,否,False
E74,0.08251810521811949,A,0.6605452906096975,0.1118240830790689,0.2175986056793728,49,67,***蔬菜专业合作社,B,否,False
E35,0.08385942941932771,A,0.708205204983031,0.08931140028773156,0.2167646566293829,50,37,***商贸有限公司,B,否,False
E49,0.08913766091665698,A,0.7361458503091196,0.07944749610117018,0.22165633794596268,51,22,***地球环保科技有限公司,C,否,False
E91,0.090497522300232,A,0.6642294472504021,0.10783115844688623,0.2133142116990828,52,64,***科技实业有限公司,A,否,False
E42,0.09350481271063961,A,0.6804379760373206,0.10136070061574545,0.21582561382436788,53,52,***园艺场,A,否,False
E44,0.09512588067931764,A,0.7112511617409831,0.08831159066650117,0.21753064647968903,54,35,***商贸有限公司,C,否,False
E32,0.09761698402790975,A,0.7178528813933605,0.08946503990523746,0.22762145152183516,55,30,***建筑劳务有限公司,B,否,False
E63,0.09779077162593171,A,0.6663113418346351,0.10663640284230794,0.212932153753531,56,62,***科技有限公司,B,否,False
E26,0.10039119637337648,B,0.5728710021153892,0.14056696489830778,0.1885302530252621,57,99,***金属材料有限公司,A,否,False
E38,0.10070973584621609,B,0.6934252382097655,0.09684040597231947,0.21903819214457296,58,44,***建设工程有限公司,B,否,False
E30,0.10505189500944223,B,0.7013592290124528,0.09399621301507328,0.22075054009651962,59,41,***建筑工程有限公司,B,否,False
E97,0.10533402942365258,B,0.6628382214269034,0.1114590949396826,0.21912136234521187,60,66,***美工装饰部,B,否,False
E73,0.10584690422754468,B,0.6826757176376739,0.10290055982451958,0.22137515919223688,61,50,***商贸有限责任公司,C,否,False
E53,0.10681209104470542,B,0.6984389405003606,0.09184123279116767,0.21271146026394316,62,43,***文化传媒有限公司,C,否,False
E43,0.10682576532647411,B,0.6559317689996744,0.10955515608019306,0.20885597929745653,63,69,***建设工程有限公司,B,否,False
E65,0.10731949033999955,B,0.6853511612763394,0.09938735288542734,0.21648018150173748,64,46,***商贸有限公司,B,否,False
E78,0.10812062323002058,B,0.6583933460671925,0.11307041114693579,0.2179255160260057,65,68,个体经营E78,C,否,False
E71,0.10928583911975912,B,0.6436293389407526,0.11023651382471725,0.19909454473397312,66,76,***农业科技有限公司,B,否,False
E58,0.1128561568011405,B,0.7131233127159011,0.0877179147330577,0.21805079573099323,67,33,***油气工程建设有限责任公司,B,否,False
E28,0.11334022313347261,B,0.684075578476603,0.10100884264427942,0.2187158628951396,68,48,***景观工程有限公司,B,否,False
E50,0.11571188576908416,B,0.6636393451950453,0.10669160497960703,0.21050246470572592,69,65,***建筑劳务有限公司,C,否,False
E39,0.12005903043085966,B,0.6792739771422808,0.10444498752675496,0.22120675284695637,70,55,***建筑劳务有限公司,C,否,False
E76,0.12143853326773575,B,0.6799369552729094,0.10033315206546173,0.21314618807833138,71,53,***信息科技有限公司,B,否,False
E88,0.12370024193012463,B,0.6759539447559025,0.10281838296029434,0.21447720294907052,72,57,***贸易有限公司,A,否,False
E57,0.12480332236992739,B,0.6707355116068834,0.09969966253945592,0.20309540359723027,73,60,***机械设备有限公司,B,否,False
E111,0.13259638913161895,B,0.5535365961853309,0.14545383841038712,0.18033733992047177,74,104,***科技有限公司,D,是,True
E84,0.14296015927700648,B,0.6534986165615283,0.10962108285707407,0.20674441551196637,75,71,***建材有限公司,A,否,False
E67,0.14782360644328182,B,0.679605801020562,0.09993940388291073,0.21198697993193663,76,54,***信息技术有限公司,B,否,False
E62,0.14845424848483477,B,0.6645283933426314,0.10733854739877154,0.21262458888060048,77,63,***工程造价咨询有限公司***分公司,B,否,False
E60,0.15439306655525958,B,0.6677678310603311,0.10353970090364628,0.20810893093744554,78,61,***机械租赁有限公司,B,否,False
E105,0.16102906031411876,B,0.5927204241659617,0.13743962558274256,0.20001806622831844,79,91,***建材经营部,C,否,False
E70,0.16302396101452019,B,0.6807194033982533,0.09868730427920515,0.21040540392035503,80,51,***科技有限公司,B,否,False
E66,0.16464168704983803,B,0.5698032189073957,0.14091730709959127,0.18664745696417642,81,100,***快递有限公司,B,否,False
E87,0.17260858852836586,B,0.6496547901139514,0.1126404365118356,0.20887226962298616,82,74,***实业有限责任公司,C,是,False
E82,0.17295144969736825,B,0.6380989512464567,0.11619341522994427,0.2048706315036496,83,79,***商贸有限公司,D,是,True
E106,0.1735738724474291,B,0.6395628748170353,0.11643711829168801,0.20660706932517398,84,78,***财务管理有限公司,B,否,False
E85,0.17493668216157196,B,0.6500637609846157,0.1123077973035428,0.20863009018002643,85,73,***安防科技有限公司,B,否,False
E93,0.1769775706677708,B,0.6530780546757113,0.110003815263096,0.20708138717420968,86,72,***电脑设计事务所,B,否,False
E52,0.17713963485467987,B,0.673278766974721,0.10011794878144221,0.20631438147881956,87,59,***商贸有限公司,D,是,True
E98,0.19555171114041422,B,0.6144097272020212,0.12257818802195573,0.19531932306535785,88,86,***文化传播有限公司,B,否,False
E94,0.20260806736594167,C,0.5824900705367672,0.13805104405949442,0.19260227534054536,89,94,***汽车美容有限公司,C,否,False
E118,0.21573836560661513,C,0.5663014583065273,0.14516518387276298,0.18954930076888035,90,101,***体育用品有限公司,D,是,True
E90,0.2178251660076469,C,0.6550954409065499,0.10769760555951073,0.2045557489411777,91,70,***文化传媒有限责任公司,C,否,False
E72,0.23769260912208184,C,0.624147594809881,0.11872377264910715,0.1971549366784349,92,84,***图书有限公司,C,否,False
E100,0.24885670674924604,C,0.5891619535002325,0.13683293857573722,0.19622515996581213,93,92,***装饰工程有限公司,D,是,True
E79,0.24914982963085772,C,0.6376639307598466,0.11441822493469357,0.20136106023180225,94,80,***鞋业有限公司,B,否,False
E55,0.2543112215065777,C,0.6408266829299979,0.11249343910184433,0.20070755260745793,95,77,***集团有限公司***电力设备分公司,C,否,False
E104,0.2793514321136163,C,0.5526138111534099,0.1496082307359367,0.18479688606403177,96,106,***管理咨询有限责任公司,C,否,False
E80,0.29425775829906664,C,0.6309665824714098,0.1166307327068551,0.19941309196335746,97,83,***实业有限责任公司,C,否,False
E122,0.309328310608436,C,0.518980294657817,0.1575079466070636,0.16993798722431067,98,111,***商贸有限责任公司,D,是,True
E92,0.33993309404190336,C,0.6366387730242842,0.11702345352935087,0.2050347212058742,99,82,***地质灾害防治有限公司,C,否,False
E89,0.35060109194168143,C,0.4467540417135236,0.179606352817784,0.14503470443289004,100,117,***物资有限公司,A,否,False
E116,0.36871281173761267,C,0.5758763440662722,0.14126439172896793,0.1918092054462895,101,98,***门窗有限公司,D,是,True
E68,0.3700553684039201,C,0.5586150846207694,0.1529399436514969,0.19356021601094517,102,102,***花木总公司,C,否,False
E77,0.3862075978446685,C,0.5778265698625462,0.1402113215262344,0.19190650379636712,103,97,***机电设备有限公司,C,否,False
E108,0.40936902784809553,D,0.5805690477738464,0.13829869913570583,0.1914306601347,104,95,***商贸有限公司,D,是,True
E112,0.4141127412639321,D,0.5530611260841314,0.1448258152782438,0.1792136087471224,105,105,***机械设备有限公司,D,是,True
E110,0.43131990326521474,D,0.5549401001161799,0.15180990277222028,0.18929003189241525,106,103,***通讯器材经营部,C,否,True
E83,0.4326998758792323,D,0.45472526332791857,0.18967520096576565,0.15817733686386234,107,115,***社会福利院（***社会福利社会化服务中心）,B,否,True
E103,0.45599156158372933,D,0.6023901931820861,0.12784408849011514,0.19368743889663656,108,88,***科技有限公司,D,是,True
E86,0.473069608436184,D,0.53611484045652,0.150197544417872,0.17358419623036267,109,109,***地质工程勘察院***分院,C,否,True
E109,0.4873012908139384,D,0.58868781716545,0.13692564124129275,0.19597391037828812,110,93,***服饰有限公司,D,是,True
E101,0.5207895027016157,D,0.552254782419037,0.15148830833990515,0.18684765236192516,111,107,***灯饰工程有限公司,D,是,True
E102,0.5233561477210709,D,0.4495545355100251,0.19064548079663604,0.155702146889391,112,116,***大药房有限责任公司,D,是,True
E117,0.535629577293673,D,0.5487194504347866,0.15369791078812275,0.1868838203239386,113,108,***人力资源管理咨询有限公司,D,是,True
E121,0.5453696921608918,D,0.4229439000996365,0.20219665497718525,0.14819675566711302,114,119,***药业连锁有限公司***药店,D,是,True
E114,0.631128954996727,D,0.41177955203249955,0.1962469235239125,0.1373812667268883,115,120,***食品有限责任公司,D,是,True
E99,0.6769513533328875,D,0.40868072356353163,0.20175706806266067,0.1394411240181577,116,122,***建筑工程有限责任公司,D,是,True
E107,0.7060285097965439,D,0.5259472334982777,0.16592216851728347,0.18408563703083722,117,110,***科技有限公司,D,是,True
E123,0.7884054962590055,D,0.4751765167560517,0.18898741522648635,0.17110968648540725,118,114,***创科技有限责任公司,D,是,True
E115,0.7961093991174868,D,0.5011475683409201,0.18452909587189736,0.1853780834079386,119,112,***装饰工程有限公司,D,是,True
E96,0.8068305060074297,D,0.40922580777479395,0.20753540563403547,0.14375855467308973,120,121,***土地整理有限公司,C,否,True
E119,0.820370511801267,D,0.42540431961664293,0.2020276776825397,0.14957203769950334,121,118,***药房,D,是,True
E120,0.8390629721168779,D,0.4926827342689545,0.1746205353648336,0.16958327388893768,122,113,***陈列广告有限公司,D,是,True
E113,0.9301541477590248,D,0.3341216004256589,0.22320997353568625,0.11200134083998946,123,123,***美居科技有限公司,D,是,True
